Year,Low_Team,Low,Median_Team,Median,High_Team,High,Average
2014,CHN,22942,PHI,30782,SEA,52458,33251.97
2015,CHN,21255,TOR,28340,SEA,43230,29951.6
2016,CHN,24243,TOR,33052,SEA,47649,32958.63
2017,PIT,22595,ATL,31818,OAK,47785,32446.6
2018,CIN,20717,ATL,28982,SEA,40784,30845.23
2019,CHN,27673,NYN,34043,OAK,52792,35249.2
2020,BAL,3931,KCA,7011,TEX,14707,7700.53
2021,CHA,23822,ATL,31923,SEA,47459,32727.5
2022,PIT,25306,NYA,32877,SEA,46386,33331.1
2023,MIL,25426,PHI,34340,OAK,51527,35820.7
2024,PIT,25389,MIN,33217,SDN,51699,35464.13
